2023-05-16 17:05:97 INFO  HomePage :43 - Select menu option Computers
2023-05-16 17:05:128 INFO  HomePage :49 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (4b94396ee7010cbc857ef4903a864f06)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 17:05:941 INFO  HomePage :58 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (4b94396ee7010cbc857ef4903a864f06)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 17:05:997 INFO  HomePage :43 - Select menu option Computers
2023-05-16 17:05:26 INFO  HomePage :49 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (953d02d40d81fdc63102e0bc242f33c3)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 17:05:848 INFO  HomePage :58 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (953d02d40d81fdc63102e0bc242f33c3)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 17:05:927 INFO  HomePage :43 - Select menu option Computers
2023-05-16 17:05:951 INFO  HomePage :49 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (f4a62b1cae32b32825b5ccdba97591cb)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 17:05:819 INFO  HomePage :58 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (f4a62b1cae32b32825b5ccdba97591cb)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:625 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:670 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (44fbfa7b7a24850d6631c6f719f4933c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 22:05:185 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (44fbfa7b7a24850d6631c6f719f4933c)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:24 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (c93dd7b36b68977e5855a891a2f6f87b)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:25 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (c93dd7b36b68977e5855a891a2f6f87b)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:458 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:506 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (d6ad0158e04d93b8ccef3cae73d0017f)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 22:05:816 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (d6ad0158e04d93b8ccef3cae73d0017f)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:35 INFO  DesktopPage :77 - Select Name : A to Z from sort by Position[[ChromeDriver: chrome on WINDOWS (d6ad0158e04d93b8ccef3cae73d0017f)] -> id: products-orderby]
2023-05-16 22:05:211 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (d9361688eeee5124946e083fb5d1ec4d)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:212 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (d9361688eeee5124946e083fb5d1ec4d)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:370 INFO  CellPhonesPage :39 - Click on List view tab[[ChromeDriver: chrome on WINDOWS (d9361688eeee5124946e083fb5d1ec4d)] -> xpath: //a[normalize-space()='List']]
2023-05-16 22:05:316 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:358 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (d85009a2a633d50b64130375adeb58a0)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 22:05:432 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (d85009a2a633d50b64130375adeb58a0)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:997 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:22 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (6ba38341e3c9a33960b79e1f7bc88449)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 22:05:54 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (6ba38341e3c9a33960b79e1f7bc88449)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:321 INFO  DesktopPage :77 - Select Name : A to Z from sort by Position[[ChromeDriver: chrome on WINDOWS (6ba38341e3c9a33960b79e1f7bc88449)] -> id: products-orderby]
2023-05-16 22:05:374 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (0c825b958851b4c667f9d810f5de878c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:375 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (0c825b958851b4c667f9d810f5de878c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:765 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (34f177b552d9f342724fb93df36f423a)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:766 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (34f177b552d9f342724fb93df36f423a)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:939 INFO  CellPhonesPage :39 - Click on List view tab[[ChromeDriver: chrome on WINDOWS (34f177b552d9f342724fb93df36f423a)] -> xpath: //a[normalize-space()='List']]
2023-05-16 22:05:566 INFO  HomePage :44 - Select menu option Computers
